Слово;Часть речи;Число;Падеж;Пол
Рассказать;глагол(инфинитив);;;
по;предлог;;;
шагам;существительное;множественное;дательный;мужской
что;союз;;;
надо;предикатив;;;
сделать;глагол(инфинитив);;;
чтобы;союз;;;
выполнить;глагол(инфинитив);;;
поставленную;причастие(полное);единственное;винительный;женский
задачу;существительное;единственное;винительный;женский
написать;глагол(инфинитив);;;
мануал;существительное;единственное;именительный;мужской
для;предлог;;;
новичка;существительное;единственное;винительный;мужской
или;союз;;;
подъехать;глагол(инфинитив);;;
по;предлог;;;
адресу;существительное;единственное;дательный;мужской
и;союз;;;
показать;глагол(инфинитив);;;
руками;существительное;множественное;творительный;женский
